year,month,file_date,case_number,case_title,file_contains,case_info_url,pdf_url,pdf_filename,download_status,scraped_at
2021,July,"Jul. 29, 2021",99101-4,State v. Enriquez-Martinez,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=991014MAJ,https://www.courts.wa.gov/opinions/pdf/991014.pdf,99101-4_State v. Enriquez-Martinez.pdf,Success,2025-12-05T11:40:40.647131
2021,August,"Aug. 05, 2021",98791-2,"Wood v. Milionis Constr., Inc.",Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=987912MAJ,https://www.courts.wa.gov/opinions/pdf/987912.pdf,"98791-2_Wood v. Milionis Constr., Inc..pdf",Success,2025-12-05T11:40:46.602382
2021,August,"Aug. 12, 2021",98824-2,City of Seattle v. Long,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=988242MAJ,https://www.courts.wa.gov/opinions/pdf/988242.pdf,98824-2_City of Seattle v. Long.pdf,Success,2025-12-05T11:40:52.860254
2021,August,"Aug. 12, 2021",99243-6,Turner v. Dep't of Social & Health Svcs.,"Maj., and Dis. Opinions and an Order",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=992436MAJ,https://www.courts.wa.gov/opinions/pdf/992436.pdf,99243-6_Turner v. Dep't of Social & Health Svcs..pdf,Success,2025-12-05T11:41:00.213371
2021,August,"Aug. 26, 2021",98613-4,In re Citizen Complaint by Stout v. Felix,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=986134MAJ,https://www.courts.wa.gov/opinions/pdf/986134.pdf,98613-4_In re Citizen Complaint by Stout v. Felix.pdf,Success,2025-12-05T11:41:07.981988
2021,September,"Sep. 02, 2021",99377-7,"Alpert v. Nationstar Mortg., LLC",Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=993777MAJ,https://www.courts.wa.gov/opinions/pdf/993777.pdf,"99377-7_Alpert v. Nationstar Mortg., LLC.pdf",Success,2025-12-05T11:41:13.634648
2021,September,"Sep. 02, 2021",99119-7,"Lake Hills Invs., LLC v. Rushforth Constr. Co., Inc.",Majority Opinion and an Order,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=991197MAJ,https://www.courts.wa.gov/opinions/pdf/991197.pdf,"99119-7_Lake Hills Invs., LLC v. Rushforth Constr. Co., In.pdf",Success,2025-12-05T11:41:24.003443
2021,September,"Sep. 09, 2021",98928-1,State v. Vazquez,"Maj., and Dis. Opinions and an Order",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=989281MAJ,https://www.courts.wa.gov/opinions/pdf/989281.pdf,98928-1_State v. Vazquez.pdf,Success,2025-12-05T11:41:30.537745
2021,September,"Sep. 23, 2021",98730-1,"Seven Hills, LLC v. Chelan County","Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=987301MAJ,https://www.courts.wa.gov/opinions/pdf/987301.pdf,"98730-1_Seven Hills, LLC v. Chelan County.pdf",Success,2025-12-05T11:41:36.649386
2021,September,"Sep. 23, 2021",97766-6,State v. Haag,"Maj., Con., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=977666MAJ,https://www.courts.wa.gov/opinions/pdf/977666.pdf,97766-6_State v. Haag.pdf,Success,2025-12-05T11:41:45.653604
2021,September,"Sep. 30, 2021",99180-4,"Spokane Airport Bd. v. Experimental Aircraft Ass'n, Chapter 79",Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=991804MAJ,https://www.courts.wa.gov/opinions/pdf/991804.pdf,99180-4_Spokane Airport Bd. v. Experimental Aircraft Ass'n.pdf,Success,2025-12-05T11:41:52.435982
2021,September,"Sep. 30, 2021",98760-2,Washington Bankers Ass'n v. Dep't of Revenue,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=987602MAJ,https://www.courts.wa.gov/opinions/pdf/987602.pdf,98760-2_Washington Bankers Ass'n v. Dep't of Revenue.pdf,Success,2025-12-05T11:41:58.686619
2021,October,"Oct. 07, 2021",99344-1,In re Pers. Restraint of Williams,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=993441MAJ,https://www.courts.wa.gov/opinions/pdf/993441.pdf,99344-1_In re Pers. Restraint of Williams.pdf,Success,2025-12-05T11:42:05.883668
2021,October,"Oct. 14, 2021",99041-7,State v. Weaver,"Maj., and Dis. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=990417MAJ,https://www.courts.wa.gov/opinions/pdf/990417.pdf,99041-7_State v. Weaver.pdf,Success,2025-12-05T11:42:15.328509
2021,October,"Oct. 22, 2021","100,255-6",Johnson v. Inslee,Majority Opinion,https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=1002556MAJ,https://www.courts.wa.gov/opinions/pdf/1002556.pdf,"100,255-6_Johnson v. Inslee.pdf",Success,2025-12-05T11:42:23.142861
2021,October,"Oct. 28, 2021",99031-0,"Dep't of Labor & Indus. v. Tradesmen Int'l, LLC","Maj., and Con/Dis Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=990310MAJ,https://www.courts.wa.gov/opinions/pdf/990310.pdf,"99031-0_Dep't of Labor & Indus. v. Tradesmen Int'l, LLC.pdf",Success,2025-12-05T11:42:32.910331
2021,October,"Oct. 28, 2021",98864-1,State v. Molnar,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=988641MAJ,https://www.courts.wa.gov/opinions/pdf/988641.pdf,98864-1_State v. Molnar.pdf,Success,2025-12-05T11:42:37.688123
2021,November,"Nov. 10, 2021",99062-0,State v. Bowman,"Maj., and Con. Opinions",https://www.courts.wa.gov/opinions/index.cfm?fa=opinions.showOpinion&filename=990620MAJ,https://www.courts.wa.gov/opinions/pdf/990620.pdf,99062-0_State v. Bowman.pdf,Success,2025-12-05T11:42:45.252091
